Tỉnh giao,LV-2,Kho Đến,Loại kho
"Kho Giao Hàng Nặng - TX Cai Lậy - Tiền Giang","Kho Giao Hàng Nặng - TX Cai Lậy - Tiền Giang","Kho Giao Hàng Nặng - TX Cai Lậy - Tiền Giang","Kho Giao Hàng Nặng"
"Kho Giao Hàng Nặng - TP Mỹ Tho - Tiền Giang","Kho Giao Hàng Nặng - TP Mỹ Tho - Tiền Giang","Kho Giao Hàng Nặng - TP Mỹ Tho - Tiền Giang","Kho Giao Hàng Nặng"
"Kho Giao Hàng Nặng - Hồ Chí Minh","Kho Giao Hàng Nặng - Hồ Chí Minh","Kho Giao Hàng Nặng - Hồ Chí Minh","Kho Giao Hàng Nặng"
"Kho Giao Hàng Nặng - Thủ Đức - HCM","Kho Giao Hàng Nặng - Thủ Đức - HCM","Kho Giao Hàng Nặng - Thủ Đức - HCM","Kho Giao Hàng Nặng"
"Kho Giao Hàng Nặng - TP Tân An - Long An","Kho Giao Hàng Nặng - TP Tân An - Long An","Kho Giao Hàng Nặng - TP Tân An - Long An","Kho Giao Hàng Nặng"
"Kho Giao Hàng Nặng - TP Tây Ninh - Tây Ninh","Kho Giao Hàng Nặng - TP Tây Ninh - Tây Ninh","Kho Giao Hàng Nặng - TP Tây Ninh - Tây Ninh","Kho Giao Hàng Nặng"
"Kho Giao Hàng Nặng - Đức Hòa - Long An","Kho Giao Hàng Nặng - Đức Hòa - Long An","Kho Giao Hàng Nặng - Đức Hòa - Long An","Kho Giao Hàng Nặng"
"Kho Giao Hàng Nặng - Nhà Bè - HCM","Kho Giao Hàng Nặng - Nhà Bè - HCM","Kho Giao Hàng Nặng - Nhà Bè - HCM","Kho Giao Hàng Nặng"
"Kho Giao Hàng Nặng - Thuận An - Bình Dương","Kho Giao Hàng Nặng - Thuận An - Bình Dương","Kho Giao Hàng Nặng - Thuận An - Bình Dương","Kho Giao Hàng Nặng"
"Kho Giao Hàng Nặng - TP Bến Tre - Bến Tre","Kho Giao Hàng Nặng - TP Bến Tre - Bến Tre","Kho Giao Hàng Nặng - TP Bến Tre - Bến Tre","Kho Giao Hàng Nặng"
"Kho Giao Hàng Nặng - Dĩ An - Bình Dương","Kho Giao Hàng Nặng - Dĩ An - Bình Dương","Kho Giao Hàng Nặng - Dĩ An - Bình Dương","Kho Giao Hàng Nặng"
"Kho Trung Chuyển Hồ Chí Minh 20","Kho Trung Chuyển Hồ Chí Minh 20","Kho Trung Chuyển Hồ Chí Minh 20","Kho Trung Chuyển"
"Bưu Cục 106/3A Tây Lân-Hóc Môn-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục Hàng Vừa 320 Nguyễn Thị Kiểu-Hiệp Thành-Quận 12-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu cục Long Thạnh Mỹ-Q9-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 63A Trần Đình Xu-Q.1-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục C1/7 Lại Hùng Cường-Vĩnh Lộc B-Bình Chánh-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 53A2 Đường 5-Linh Tây-Q.Thủ Đức-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 104 Lương Ngọc Quyến-Q.Bình Thạnh-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 8F Gò Xoài-Bình Hưng Hòa A-Bình Tân-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 88/21 Phan Sào Nam-Q.Tân Bình-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 01 Đường Số 6-Long Bình-Q.9-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 53 Đường 22-Linh Đông-Thủ Đức-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 602/26 Điện Biên Phủ-Phường 12-Bình Thạnh-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 309 Nguyễn Thị Ngâu-Hóc Môn-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Bưu Cục 1440/1 Tỉnh Lộ 10-Tân Tạo-Bình Tân-HCM","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
